"oil.price" "direct.tax" "interest.rate" "saving.ratio" "investment" "rec_dep" "rec_len"
"64" -0.1 -0.03 0.07 -0.07 -0.06 4.35654610899335 4.43501522759075
"66" -0.14 -0.05 0.12 0.01 -0.05 4.27791576458713 4.27059003129532
"67" -0.07 0.13 -0.05 -0.08 -0.07 4.65512890329265 5.03130040376451
"68" -0.18 -0.09 0.18 0.2 -0.02 4.89898922817411 4.46687626319336
"69" -0.05 -0.11 -0.23 -0.04 0.16 5.28815630437382 4.70389344262295
"72" -0.08 -0.14 0.05 0 -0.15 4.42508201729337 4.31284623446624
"73" 0.1 0.11 -0.18 -0.18 -0.01 6.38313697884153 6.24758110415481
"74" 0.09 0.15 -0.17 -0.05 0 7.15164233819019 6.87878787878788
"75" -0.08 0.15 -0.01 -0.13 0.18 5.04960884060089 5.17116038528962
"77" -0.07 -0.02 -0.03 0.02 -0.03 5.10247180863075 4.88018558951965
"78" -0.06 0.08 0.19 -0.08 0.09 5.15639734888232 5.09438890389985
"79" -0.13 0.12 -0.12 -0.11 -0.02 4.24019445071658 4.58026723470178
"81" 0 0.2 0.17 0.1 0.13 7.4364116936073 7.08088737222625
"82" -0.05 -0.02 -0.09 -0.19 0 4.46492847560733 4.4797056931166
"83" -0.07 -0.01 0.03 0.04 0.07 5.47463772928317 5.06473155533392
"85" 0.09 -0.05 -0.03 0.02 -0.01 6.8984845063688 5.9316778986846
"86" -0.03 -0.08 -0.06 -0.07 -0.09 4.72047709492755 4.59036342706792
"87" 0.05 -0.09 0.01 -0.13 0.03 5.65872836669369 5.15168229453944
"88" -0.08 -0.02 0.04 -0.01 0.01 4.97894778785746 4.79749776586238
"89" -0.19 0.05 -0.05 0.21 -0.02 5.05624991698655 4.85402319681044
"91" -0.04 -0.07 0.05 -0.04 -0.08 4.80229515599889 4.6352795031056
"92" 0.1 0.04 0.25 0.11 -0.15 7.37265736030496 6.7095940562076
"94" 0.02 -0.11 0.11 -0.04 -0.06 5.38591294877074 4.98804218274376
"97" 0.06 0.02 -0.06 0 0.17 7.17475328401228 6.08599488322192
"98" -0.08 0.07 0.04 0.24 -0.04 6.64692053287998 5.86709647287529
"99" -0.06 0.13 -0.03 -0.09 0.1 5.32242425852384 5.30326962252791
"100" 0.02 0 -0.15 -0.05 -0.11 5.34712906267848 5.25271317829458
"101" 0.06 0.19 0.08 0.13 -0.02 7.99718418361248 8.10131859308683
"102" 0 -0.02 0.14 0.02 0.12 6.22507936086281 5.39874433083395
"103" 0.19 -0.16 -0.05 -0.27 0.03 6.34966595385781 5.64766927791318
"104" -0.01 -0.12 -0.14 0.03 0.17 6.01628391929765 5.08614962449451
"105" 0.17 -0.1 -0.06 -0.18 0.02 6.70934665090519 5.93078654680378
"106" 0.04 -0.06 -0.02 0.14 -0.09 6.7699132675424 5.72639401169794
"107" 0.08 -0.03 0.05 0.1 0.01 7.44092762554956 6.27216476619818
"109" -0.08 0.09 -0.04 -0.01 0.02 5.1733985044296 5.16405340023296
"110" -0.18 0.15 -0.11 0.15 -0.08 4.88305064484853 5.09643584521385
"111" 0.1 -0.22 -0.12 0.08 0.07 7.13623504097544 5.58291366038421
"112" -0.09 0.21 0.22 0.09 0.04 6.1615906706159 6.134696485623
"113" -0.21 -0.08 0.05 -0.07 -0.11 2.91251045969531 3.5488871698646
"114" 0.03 0.19 -0.04 0.03 -0.1 6.70562764812922 6.82736572890026
"115" -0.05 0.29 0.03 -0.12 -0.14 4.88012857123884 5.88396788396789
"116" -0.09 -0.18 -0.05 0.12 -0.02 5.24937241828157 4.60356435815205
"117" 0.06 -0.15 -0.1 0.04 -0.04 6.19001447754653 5.26510216168197
"118" 0.04 -0.12 0.17 0 0.19 6.6923454953579 5.42414976133652
"119" 0.02 0.08 0.04 -0.08 -0.1 5.42602505014014 5.44666418881249
"120" 0.15 0.12 -0.05 -0.25 0.14 7.33493604643442 6.79097731536756
"121" -0.03 0.07 0.1 -0.11 -0.09 4.75740147963182 4.95822184785739
"122" -0.09 -0.05 0.19 -0.03 -0.16 4.23833494932859 4.33919758000319
"123" -0.09 -0.01 -0.03 -0.03 0.18 5.23821540995365 4.87168452485509
"124" -0.2 -0.04 0.09 -0.04 -0.02 3.46903266081367 3.87639679581058
"125" -0.07 0 0.03 -0.02 -0.08 4.78077806850936 4.75147190008921
"126" -0.16 0 0.04 -0.01 0.07 4.31669965067938 4.38334908632641
"127" -0.13 -0.03 -0.12 -0.06 0.01 4.2635710395941 4.27656750214727
"128" 0.02 0 -0.12 0.07 0.21 7.23292911315067 6.02924615513909
"130" -0.03 0.05 -0.03 0.04 0.12 6.22720450530623 5.52321322088764
"131" -0.12 0.1 -0.05 0.32 -0.05 7.16306498957351 6.24922305764412
"133" 0.13 0.17 0.17 0.02 -0.04 7.91881948226168 7.92891113892366
"134" -0.01 0.08 -0.1 -0.02 0.07 5.99051654292129 5.54377388676562
"136" 0.12 -0.14 0.03 0.16 -0.06 7.74747971151164 6.23861902850261
"137" -0.04 -0.02 -0.04 -0.05 -0.03 5.01401267117374 4.86036924179961
"138" -0.01 0.14 -0.02 -0.07 0.01 5.66669765835648 5.6894847528917
"140" 0.04 -0.04 -0.08 0.13 -0.02 6.94762847162268 5.85675315984892
"141" 0.02 -0.13 -0.13 0 0.09 5.89063475408094 5.11084390030608
"142" 0.15 -0.03 -0.07 -0.04 -0.08 7.00128836881883 6.2620633038402
"143" 0.04 -0.21 0.14 -0.06 0.26 6.24287744557639 5.08217420661715
"144" 0.1 0.01 0.02 -0.11 0.05 6.76327219115674 6.01477241251962
"145" 0.08 0.19 -0.03 -0.03 0.08 7.54213762966703 7.497912861988
"146" 0.03 0.15 0.07 -0.2 -0.02 5.60002125144445 5.75005185646132
"147" -0.16 0.06 -0.1 -0.2 -0.04 3.39279310390629 3.98841191784541
"148" 0.13 0.08 -0.08 -0.07 -0.04 7.09957629932661 6.72063127090301
"150" -0.12 0.02 0.02 -0.16 0.08 4.20805164100999 4.34533633408352
"151" 0.01 -0.02 0.05 -0.01 -0.04 5.54131413619519 5.24275435154397
"152" -0.04 0.21 0.1 -0.2 0.09 5.12000425028889 5.50627934913182
"154" 0.08 0.03 -0.08 0.01 -0.14 6.4399845927028 6.00297568990035
"155" 0.01 0.07 -0.02 0.06 0 6.4912537024001 5.86734499809814
"156" 0.04 -0.01 0.05 -0.04 0.03 6.17673232477521 5.53567053725051
"158" 0.01 0.02 -0.02 -0.05 0.03 5.76870459164023 5.36178861788618
"159" -0.01 0.03 -0.13 -0.15 0 5.01454395728461 5.01820600216144
"160" -0.03 0.04 -0.1 -0.02 -0.1 5.08972094197027 5.10881383120934
"161" 0.08 0.06 0.06 -0.01 -0.02 6.83180809945677 6.21863002626793
"163" -0.02 0.04 -0.08 0.13 -0.02 6.31274156915353 5.67445245929424
"166" -0.03 -0.18 0.04 0 -0.08 4.91944374344194 4.51925078043705
"168" -0.21 0.06 0.09 0.17 -0.14 4.36265589926816 4.51897533206831
"169" 0.06 -0.04 -0.17 0.02 0.08 6.86209140777538 5.82094889423466
"171" 0.11 -0.18 -0.09 -0.04 0.03 6.60255814262376 5.4531057028696
"172" 0.06 0 0.04 0.06 -0.12 6.61876236900478 5.91885900278789
"173" 0.04 -0.04 -0.07 0.07 0.01 6.7035025036858 5.70739963555567
"174" 0.1 0.01 0.06 -0.1 -0.03 6.46734582741172 5.95689220254424
"176" 0.02 0.01 0.07 -0.14 -0.05 5.25840428216605 5.21764158149609
"177" 0.05 0.23 -0.12 0.12 -0.15 7.3498120575383 7.93056822966216
"178" 0.04 0.17 -0.1 -0.08 0.06 6.69154856619161 6.54100561386381
"179" -0.07 -0.08 -0.09 0.05 0 5.24830984605986 4.81942798928348
"180" -0.05 -0.02 -0.02 0.15 0.04 6.25350316779345 5.42728270274045
"182" 0.08 0.12 0.13 -0.09 0.05 6.86209140777538 6.47766069546892
"183" 0.15 -0.16 0.17 -0.15 -0.07 6.17248203588839 5.45696653191275
"184" -0.16 -0.04 0.04 -0.08 0.03 3.80400855370638 4.06152711176688
"185" -0.1 -0.09 -0.14 0.05 -0.01 4.97708828646949 4.61561898652983
"187" 0.12 -0.19 0.03 -0.04 0.08 6.81188487029979 5.53470875668968
"188" 0.06 -0.01 -0.13 -0.08 -0.08 5.88266546241815 5.45294331173166
"189" 0 0.05 -0.02 -0.05 -0.06 5.45391757095992 5.37447733734738
"190" -0.16 0.09 -0.18 -0.21 -0.04 3.38455816918808 4.01272634096344
"191" -0.02 -0.04 0.06 0.04 -0.07 5.41991525986533 5.10531818233378
"192" -0.06 -0.16 0.11 0.01 -0.05 4.84851704764309 4.49795645389017
"193" 0.15 0.13 -0.04 -0.02 0 7.90155268365897 7.70044863683424
"194" 0.12 -0.05 -0.04 -0.1 -0.1 6.25164366640545 5.75283492062604
"195" -0.06 -0.11 -0.06 -0.03 -0.11 4.52868280890968 4.47112027927642
"196" 0.1 0.06 0.15 0 -0.1 6.8533251869463 6.43815358614134
"197" 0.08 -0.06 0.02 -0.03 -0.1 6.10208662620039 5.52974449401932
"198" -0.11 -0.03 0.03 -0.09 -0.07 4.09116869662236 4.25316951009548
"199" -0.01 -0.08 -0.1 -0.21 -0.12 4.24683552710224 4.33760751831794
"200" 0.05 0.12 0.05 0.09 -0.06 7.12374981737041 6.68943964575046
"202" 0.03 -0.13 0.01 -0.13 -0.02 5.28603115993041 4.899319147416
"203" -0.14 -0.06 0.11 -0.05 0.03 4.16076717714408 4.17727952167414
"204" 0.07 -0.26 -0.02 -0.03 -0.08 5.77614259719216 4.87352489462237
"206" -0.15 0.14 0.16 -0.02 0 4.4505837506143 4.71583105582054
"207" 0.02 -0.07 -0.03 -0.1 0.11 5.69804353889678 5.13624440672736
"208" 0.07 0.04 -0.08 0.04 -0.15 6.51675543572103 6.07469737946428
"210" 0.02 -0.04 0.01 0.04 -0.1 5.66085351113709 5.32116500307987
"211" -0.01 -0.09 -0.09 0.11 -0.05 5.81997370133752 5.22439804937519
"212" 0.01 -0.13 0.02 -0.09 0.13 5.53812641953009 4.89435955237289
"213" 0.02 0.05 0 -0.11 0.02 5.59125503061537 5.39296840605975
"214" 0.14 0.15 -0.14 -0.08 -0.02 7.70603939486512 7.5438303954264
"215" -0.26 0 0.03 0.11 0.03 3.61752712879704 3.97007120252583
"216" -0.01 0 0.16 -0.12 0.06 5.22201118357264 5.02786377708978
"218" 0.01 0.21 -0.03 0.04 0 6.85465340222344 6.84147148670935
"219" 0.09 0.02 0.12 0.13 -0.06 7.6906320976504 6.69783363989373
"220" -0.08 0.1 -0.24 0.22 -0.12 6.32575807886943 5.92521429719698
"222" 0.05 -0.2 -0.05 -0.05 -0.01 5.68874603195686 5.02782715711746
"223" -0.01 -0.02 -0.17 -0.2 -0.07 4.56321640611511 4.6268233279669
"225" 0.1 0.05 -0.04 -0.02 -0.02 7.06663656045373 6.45516702480954
"226" -0.19 -0.1 -0.07 0.05 -0.04 3.85527766340369 4.05232687041797
"227" 0.07 -0.08 -0.11 0.05 0.17 7.42817675888909 5.98243931477722
"228" 0.05 -0.09 -0.15 -0.27 0.2 5.60002125144445 5.01933438985737
"230" -0.08 -0.07 -0.08 -0.01 0.06 4.93963261565434 4.62537764350453
"231" -0.05 0.12 0.22 0.18 -0.02 6.74680232172031 6.21478199577082
"232" -0.02 0.04 -0.07 -0.05 0.12 5.72965506249253 5.28681851821397
"233" -0.07 -0.18 -0.14 -0.04 0 4.67080184356281 4.32758744009728
"234" 0 0.06 -0.1 0.06 0.07 6.50586407044855 5.82284977159483
"235" -0.06 -0.09 0 0 -0.11 4.70666365604538 4.54231599136898
"236" 0.07 -0.02 -0.13 0.01 0 6.765928621711 5.92297674890015
"238" 0.02 0.01 -0.14 -0.14 -0.02 5.27274900715908 5.17720820189275
"239" -0.11 0.23 0.04 0.05 0.21 6.31486671359695 6.11435878699306
"240" 0.1 0.1 0 0.03 -0.08 7.26985349785494 6.91984515177221
"241" -0.15 0.07 0.11 0.13 0.04 5.1712733599862 5.06999561979851
"242" -0.05 0 -0.15 -0.09 -0.04 4.77440263517912 4.74445446348062
"243" -0.17 -0.04 0.17 0.04 0 4.14270344937507 4.19595515830935
"244" 0 -0.17 0.15 0.16 0.17 6.9739271341099 5.37481323372466
"245" 0.04 0.01 -0.04 0.12 0.1 7.51424510884725 6.22542814594192
"246" -0.23 0.07 -0.01 0.06 0.16 4.14376602159678 4.35550020755501
"247" 0 -0.07 -0.07 -0.04 0.04 5.42629069319556 5.02756874095514
"248" 0.16 0 0.04 -0.04 0.05 7.68027201848877 6.795149008179
"249" 0.11 0.01 0.19 -0.11 -0.04 6.5305688746032 6.02355324720354
"251" -0.12 0.14 0.26 -0.14 -0.14 3.89060818977541 4.49153034556191
"252" -0.02 -0.04 -0.05 -0.05 0.03 5.2586699252215 4.98855868341134
"253" -0.07 -0.03 -0.01 0.01 -0.13 4.72977460186747 4.68175461543327
"254" -0.03 -0.02 -0.16 -0.08 -0.04 4.92050631566365 4.80448775254783
"255" -0.27 -0.09 -0.01 0 0.04 2.76401599171194 3.43258776017397
"256" 0.03 0.07 -0.02 0.07 0.21 7.47705508108756 6.41039907904835
"257" 0.07 -0.17 0.01 0.12 -0.08 6.5937919217947 5.45721071773176
"258" -0.09 -0.1 0.03 0.13 -0.01 5.4347912709692 4.86311072897362
"259" 0.13 -0.18 0.06 0.03 0.12 7.52407390189802 5.94811186900756
"260" 0.04 -0.09 -0.1 0.09 -0.06 6.4731899746311 5.50945323114902
"262" 0 -0.07 0.02 0.08 0.06 6.16318452894847 5.33540801725106
"263" -0.11 0.02 -0.08 0.08 -0.04 5.03287332810904 4.88352194314104
"264" -0.1 -0.11 0 -0.12 -0.1 3.88901433144284 4.09650789012274
"265" 0.21 -0.16 -0.04 -0.03 -0.03 7.33334218810186 6.20336682052675
"266" -0.22 -0.06 0.03 -0.07 0.01 3.14521377624885 3.68089138171631
"267" 0.03 -0.33 0.07 -0.02 0.03 5.52192219314908 4.64135460899947
"268" 0.16 0.05 -0.11 0 -0.14 7.43003626027707 7.04083769633508
"269" 0.09 0.13 -0.01 0.15 -0.01 8.27106217375714 7.83552006500274
"270" -0.08 -0.12 0.04 0.08 0.03 5.38086573071765 4.74373503591381
"271" 0.03 0.08 -0.18 0.04 -0.13 6.21551621086746 5.94639110365086
"272" -0.1 0.07 -0.07 0.21 -0.21 5.58009802228747 5.42739026956235
"274" 0.1 0.17 -0.1 0.09 -0.03 7.98655846139542 8.04486072207829
"275" -0.01 0.05 -0.1 -0.16 -0.16 4.47103826588215 4.72167248738844
"276" -0.07 -0.03 0.08 -0.14 -0.09 4.13340594243515 4.38615771812081
"277" -0.16 -0.03 -0.13 -0.08 -0.15 3.41484147750667 3.92838222309428
"278" 0.15 0 -0.21 -0.21 0 6.47186175935396 6.03776638791476
"279" 0.2 -0.05 0.02 0.05 -0.03 7.98576153222916 6.85747009417155
"280" 0.01 0.06 -0.01 0 -0.15 5.45126114040565 5.38983899685747
"281" 0 0.13 -0.1 -0.08 0.03 5.72912377638169 5.60765550239235
"282" -0.06 -0.03 0.07 0.01 0.05 5.34394134601337 4.95643099483483
"283" -0.1 0.04 0.2 -0.01 0.08 5.00126180451329 4.91177552897885
"284" 0.1 -0.09 0.15 0.05 -0.03 7.00181965492968 5.91024911653834
"286" -0.15 -0.19 0.03 0.03 0.04 4.25533610487588 4.05906870726148
"287" -0.1 -0.06 -0.21 0.01 0.05 4.83098460598495 4.56405075567769
"288" 0.15 -0.05 -0.1 0.09 0.08 8.36403724315639 6.91863517060368
"289" -0.01 -0.09 -0.13 0.02 0.02 5.5684097278487 5.07619529105879
"291" 0.04 -0.04 -0.05 -0.19 0 5.29054709187267 5.11264855701353
"292" -0.01 -0.06 -0.14 -0.06 -0.2 4.71011701576593 4.64807531480415
"293" 0.1 -0.08 0.13 0.07 -0.06 6.96914555911222 5.95054347398902
"297" 0.02 0.04 0.03 -0.13 0.02 5.50120203482581 5.32711760049257
"298" -0.04 -0.09 -0.06 -0.01 0.13 5.42124347514246 4.84787835018811
"299" -0.04 0.19 0.1 0.13 0.04 6.99119393271262 6.68519195612432
"300" 0.06 -0.04 -0.19 0.05 -0.02 6.61716851067221 5.73206065532761
"301" -0.07 -0.24 -0.04 0.15 -0.02 5.48340395011225 4.62093604858878
"303" -0.03 0.1 0.13 0.05 0.13 6.38552776634038 5.79102678468769
"304" 0.01 0.02 0.1 -0.09 0.07 5.58009802228747 5.24197713021026
"305" 0 -0.28 0.03 -0.09 -0.03 4.72658688520236 4.27586901087103
"306" -0.11 -0.01 0.12 0.01 -0.02 4.74040032408453 4.62337082484734
"307" -0.12 0.05 0.03 0.06 0.03 5.0246383933908 4.94502578746315
"308" 0.01 -0.09 0.07 -0.04 0.09 5.6579314375274 5.04893729672491
"309" -0.03 0.08 0.05 0.16 -0.1 6.32974272470083 5.88078687174621
"310" 0.12 -0.09 -0.11 -0.06 -0.07 6.379683619121 5.7073087450352
"312" -0.07 0.12 -0.08 -0.07 0.11 5.20022845302768 5.26784858648778
"313" -0.04 -0.07 -0.04 -0.06 0.2 5.45869914595758 4.87956767280638
"314" -0.17 0.2 0.07 -0.06 0.21 4.66575462550971 4.94808974080487
"316" -0.21 0.1 -0.08 0.15 0.03 4.59482792971086 4.67907785198061
"318" 0.01 0.07 -0.04 -0.08 -0.02 5.46773100984208 5.36055951645571
"319" -0.05 0.13 0.2 -0.1 0.1 5.34048798629282 5.32246950367819
"320" -0.01 -0.06 0.09 0.09 0.14 6.46734582741172 5.40346121863067
"321" 0.08 -0.16 0 -0.16 -0.06 5.54211106536148 4.96970369758874
"322" -0.05 0.12 -0.04 0.01 0.01 5.61516290560375 5.5206272736561
"324" 0.11 -0.08 -0.06 0.15 -0.02 7.93316420725472 6.46834374472396
"325" 0.12 -0.08 0.14 -0.07 -0.12 6.18815497615854 5.61969537656685
"326" 0.01 0.05 0.05 -0.16 0.14 5.71345083611152 5.35824605006214
"327" -0.04 0.04 0.02 0.2 -0.1 6.4450318107559 5.80416096406534
"328" 0 -0.12 0.03 0.18 0.06 6.75025568144086 5.44687310261081
"329" 0.08 -0.07 -0.03 0.09 -0.08 6.81082229807808 5.83617512509979
"330" -0.05 0.11 0.08 0.04 0.06 5.98626625403445 5.6502583832751
"331" 0.08 0.08 -0.12 0.04 0.02 7.43906812416157 6.78898010423666
"333" 0 -0.05 0.03 0.04 -0.08 5.5745195181235 5.20767594268688
"334" -0.13 0 0.03 -0.04 0.02 4.38098527009259 4.40710915893932
"335" -0.09 -0.12 0.13 0.03 -0.09 4.6957722907729 4.51964173475802
"336" -0.2 -0.13 -0.06 -0.1 -0.12 2.88939951387322 3.49239656783621
"337" 0.01 -0.07 -0.01 0 -0.02 5.65075907503089 5.18791540785499
"338" 0 0.11 -0.03 0.04 0.11 6.68703263424937 5.97683627004554
"339" -0.11 0 -0.09 -0.05 0.07 4.6405185352442 4.55420298999907
"340" 0.08 -0.09 0.12 0.01 -0.09 6.30264713304734 5.56890166847415
"341" 0.04 -0.02 -0.18 0.09 0.15 7.27277557146463 5.98781642781416
"342" -0.08 -0.03 0.1 0.06 -0.22 4.62856459775001 4.61141548379511
"343" -0.11 0.11 -0.02 0.03 -0.08 4.81610859488106 5.02569447024538
"344" -0.07 -0.22 0 -0.05 -0.1 4.30873035901659 4.16300452978163
"345" -0.04 0.03 -0.03 -0.01 0.25 6.17381025116552 5.39900888585099
"346" 0.06 -0.01 0.14 -0.1 -0.07 5.79898789995883 5.3807012674623
"347" -0.04 -0.03 0 -0.02 0.08 5.34314441684709 4.94325867369346
"348" -0.06 -0.09 0 -0.16 -0.08 4.07416754107507 4.23766850490196
"350" -0.01 -0.28 -0.07 0.02 -0.01 5.25760735299979 4.52352070789683
"351" 0.21 -0.02 -0.02 0.09 -0.2 7.7841384531605 6.989723939737
"352" 0.09 -0.05 -0.05 0 -0.04 6.62115315650361 5.80159479837445
"353" -0.03 0.21 -0.09 0.17 -0.18 6.50798921489195 6.63874125874126
"354" -0.01 -0.05 -0.12 -0.12 -0.01 4.94122647398692 4.74997390110891
"355" 0.01 0.08 -7.16e-05 -0.12 0.08 5.77242359441618 5.46391372476726
"356" 0.07 0.09 0.02 0 0 6.98588107160409 6.46029205841169
"358" 0.18 0.04 0.1 -0.1 0.06 7.70922711153025 7.01503065167186
"359" -0.05 -0.04 0.14 -0.09 0.15 5.15799120721488 4.7900481077382
"361" -0.18 0.11 0.02 0.01 -0.08 3.96711338973821 4.36911331861663
"364" 0.09 0.07 0.17 -0.02 0.05 7.3014650214507 6.61420406435225
"365" -0.15 -0.11 0.05 0 0.11 4.43012923534648 4.2577175583182
"366" -0.15 0.09 -0.02 0.14 -0.2 4.64636268246359 4.84960245234218
"367" 0 0.1 0 -0.01 0.1 6.35285367052292 5.85436123381284
"368" 0.02 0 -0.11 -0.06 0.08 5.86911766659141 5.31151720911715
"369" -0.06 0.09 0.18 -0.16 0.03 4.75022911713532 4.91982513779464
"370" -0.15 -0.09 -0.24 0.04 -0.05 4.1852063382433 4.19464086341645
"371" -0.05 0.18 0.1 0.14 0.08 6.97525534938704 6.52616588550538
"372" 0.03 -0.07 0.09 0.13 -0.08 6.60760536067686 5.62736923499494
"374" -0.11 0.09 0.08 -0.12 0.13 4.69364714632948 4.80580627151764
"375" -0.06 -0.2 -0.04 -0.02 -0.05 4.60943829775931 4.36171853097842
"376" 0.13 -0.09 -0.03 0 -0.03 6.98481849938238 6.00458000862898
"377" -0.1 -0.06 0.18 0.08 0.16 5.51156211398744 4.90355582248211
"378" -0.14 -0.02 -0.05 -0.12 0 3.92620435920254 4.14851171627613
"380" 0.07 -0.14 -0.04 0.03 0.01 6.39827863300085 5.39058734939759
"381" -0.02 0.03 -0.11 0 0.04 5.68423010001462 5.19283766855796
"383" -0.05 0.1 -0.12 -0.06 -0.03 5.04828062532376 5.18446959241881
"384" 0.05 -0.24 -0.08 0.14 0.07 6.80869715363468 5.34528640808995
"385" 0.06 -0.05 -0.06 -0.06 -0.04 5.95252958599531 5.37804714498452
"386" -0.1 -0.12 0.1 0.08 -0.02 4.96885335175125 4.55393563396666
"387" 0.08 0.14 -0.05 0 -0.07 7.02652445908434 6.93741024413596
"388" 0.11 0.11 -0.23 0.03 -0.11 7.26825963952239 7.00281088457074
"389" 0.16 -0.12 -0.12 -0.03 0.08 7.56445164632285 6.23690733189414
"390" -0.09 0.06 -0.03 0.04 0.07 5.43000969597154 5.18165287753432
"391" -0.02 0.07 0.12 0.06 0.21 6.78133591892575 5.84239328712149
"393" 0.03 -0.02 -0.22 0.21 -0.14 7.12587496181381 6.08869199387244
"394" 0.08 -0.23 -0.07 0.02 -0.17 5.88372803463986 5.03774887011381
"395" 0.02 0.15 -0.02 0.05 -0.07 6.59751092457067 6.42619515209806
"396" 0.14 0.04 -0.23 -0.01 0.09 7.89198953366362 6.90492125984252
"397" -0.11 -0.04 0 0.09 0.01 5.15161577388464 4.74775909807852
"398" 0.07 -0.01 0.11 0.16 0.16 8.40388370147035 6.70882645225405
"399" -0.09 0.01 0.12 -0.01 -0.08 4.66814541300855 4.66970045064947
"400" -0.05 0.22 0.09 -0.1 0.05 5.50465539454636 5.79153354632588
